"Timestamp","1. What is your country of origin or ancestral background?","2. How many years have you lived continuously in the Netherlands?","3. What is your current employment status?","4. What is your estimated annual household income (before taxes)?","5. How would you describe your housing situation in the Netherlands?","6. Do you currently send remittances to your country of origin?","7. On average, what percentage of your monthly income do you send as remittances?","8. What channels do you primarily use to send remittances? (Select all that apply)","9. What factors most influence your choice of remittance channel? 
Rate each from 1 (Not at all important) to 5 (Extremely important) [Lower fees]","9. What factors most influence your choice of remittance channel? 
Rate each from 1 (Not at all important) to 5 (Extremely important) [Exchange rate offered]","9. What factors most influence your choice of remittance channel? 
Rate each from 1 (Not at all important) to 5 (Extremely important) [Speed of transfer]","9. What factors most influence your choice of remittance channel? 
Rate each from 1 (Not at all important) to 5 (Extremely important) [Security and reliability]","9. What factors most influence your choice of remittance channel? 
Rate each from 1 (Not at all important) to 5 (Extremely important) [Convenience and ease of use]","9. What factors most influence your choice of remittance channel? 
Rate each from 1 (Not at all important) to 5 (Extremely important) [Trust in the service provider]","10. What is the primary purpose of the remittances you send? (Select all that apply)","11. To what extent do you monitor exchange rates when planning your remittance transfers?","12. Have you noticed a relationship between your remittance sending and exchange rate fluctuations?","13. Based on your knowledge and experience, how do you evaluate the following aspects of financial stability in relation to remittance flows:

A. Changes in banking indicators during high remittance outflows
Rate from 1 (Significant decrease) to 5 (Significant increase), or mark N/A  [Bank liquidity ratios in your community’s preferred banks]","13. Based on your knowledge and experience, how do you evaluate the following aspects of financial stability in relation to remittance flows:

A. Changes in banking indicators during high remittance outflows
Rate from 1 (Significant decrease) to 5 (Significant increase), or mark N/A  [Dutch banks’ interest rates on deposits]","13. Based on your knowledge and experience, how do you evaluate the following aspects of financial stability in relation to remittance flows:

A. Changes in banking indicators during high remittance outflows
Rate from 1 (Significant decrease) to 5 (Significant increase), or mark N/A  [Banks' lending activity to migrant communities]","13. Based on your knowledge and experience, how do you evaluate the following aspects of financial stability in relation to remittance flows:

A. Changes in banking indicators during high remittance outflows
Rate from 1 (Significant decrease) to 5 (Significant increase), or mark N/A  [Financial institution service fees for international transfers]","B. Effects on exchange rate aspects during high remittance outflows
Rate from 1 (Significant decrease) to 5 (Significant increase), or mark N/A [Exchange rate volatility between Euro and your home currency]","B. Effects on exchange rate aspects during high remittance outflows
Rate from 1 (Significant decrease) to 5 (Significant increase), or mark N/A [Spread between official and market exchange rates]","B. Effects on exchange rate aspects during high remittance outflows
Rate from 1 (Significant decrease) to 5 (Significant increase), or mark N/A [Purchasing power of Euro against your home currency]","14. Considering the impact of your remittances on the recipient country (e.g., Turkey, Morocco): 

A. How do you believe your remittances affect the following in your home country?
Rate from 1 (Strong negative impact) to 5 (Strong positive impact), or mark N/A
 [Financial system stability in recipient country]","14. Considering the impact of your remittances on the recipient country (e.g., Turkey, Morocco): 

A. How do you believe your remittances affect the following in your home country?
Rate from 1 (Strong negative impact) to 5 (Strong positive impact), or mark N/A
 [Exchange rate stability of local currency]","14. Considering the impact of your remittances on the recipient country (e.g., Turkey, Morocco): 

A. How do you believe your remittances affect the following in your home country?
Rate from 1 (Strong negative impact) to 5 (Strong positive impact), or mark N/A
 [Recipient household economic welfare]","14. Considering the impact of your remittances on the recipient country (e.g., Turkey, Morocco): 

A. How do you believe your remittances affect the following in your home country?
Rate from 1 (Strong negative impact) to 5 (Strong positive impact), or mark N/A
 [Local community development]","14. Considering the impact of your remittances on the recipient country (e.g., Turkey, Morocco): 

A. How do you believe your remittances affect the following in your home country?
Rate from 1 (Strong negative impact) to 5 (Strong positive impact), or mark N/A
 [Inequality among receiving vs. non-receiving households]","B. When determining your remittance amount and frequency, how important are these recipient country factors?
Rate from 1 (Not at all important) to 5 (Extremely important)
 [Economic conditions in recipient country]","B. When determining your remittance amount and frequency, how important are these recipient country factors?
Rate from 1 (Not at all important) to 5 (Extremely important)
 [Exchange rate between Euro and recipient currency]","B. When determining your remittance amount and frequency, how important are these recipient country factors?
Rate from 1 (Not at all important) to 5 (Extremely important)
 [Financial regulations in recipient country]","B. When determining your remittance amount and frequency, how important are these recipient country factors?
Rate from 1 (Not at all important) to 5 (Extremely important)
 [Political stability in recipient country]","B. When determining your remittance amount and frequency, how important are these recipient country factors?
Rate from 1 (Not at all important) to 5 (Extremely important)
 [Financial needs of recipient household(s)]","15. Which of the following financial products/services do you currently use in the Netherlands? (Select all that apply)","16. To what extent has sending remittances affected your ability to build the following assets in the Netherlands?
Rate from 1 (Significantly reduced) to 5 (Significantly increased), or mark N/A [Housing/property ownership opportunities]","16. To what extent has sending remittances affected your ability to build the following assets in the Netherlands?
Rate from 1 (Significantly reduced) to 5 (Significantly increased), or mark N/A [Financial investments and savings]","16. To what extent has sending remittances affected your ability to build the following assets in the Netherlands?
Rate from 1 (Significantly reduced) to 5 (Significantly increased), or mark N/A [Emergency savings fund adequacy]","16. To what extent has sending remittances affected your ability to build the following assets in the Netherlands?
Rate from 1 (Significantly reduced) to 5 (Significantly increased), or mark N/A [Retirement savings accumulation]","16. To what extent has sending remittances affected your ability to build the following assets in the Netherlands?
Rate from 1 (Significantly reduced) to 5 (Significantly increased), or mark N/A [Education investment for yourself or family in NL]","16. To what extent has sending remittances affected your ability to build the following assets in the Netherlands?
Rate from 1 (Significantly reduced) to 5 (Significantly increased), or mark N/A [Business ownership or entrepreneurship in NL]","17. To what extent do you agree with the following statements about remittances and your financial situation?
Rate from 1 (Strongly disagree) to 5 (Strongly agree) [Remittances limit my personal financial security in the Netherlands]","17. To what extent do you agree with the following statements about remittances and your financial situation?
Rate from 1 (Strongly disagree) to 5 (Strongly agree) [Remittance obligations create financial pressure on my household]","17. To what extent do you agree with the following statements about remittances and your financial situation?
Rate from 1 (Strongly disagree) to 5 (Strongly agree) [Remittance expectations vary based on income levels among migrants]","17. To what extent do you agree with the following statements about remittances and your financial situation?
Rate from 1 (Strongly disagree) to 5 (Strongly agree) [Better financial services would help me balance remitting and saving]","18. Do you agree that remitting affects your children’s or future generations’ economic opportunities in the Netherlands?","19. Regarding the regulatory environment's impact on your financial decisions: 

A. How have the following regulations affected your remittance behavior and financial integration in the Netherlands?
Rate from 1 (Strongly negative effect) to 5 (Strongly positive effect), or mark N/A if unaware [Anti-money laundering requirements]","19. Regarding the regulatory environment's impact on your financial decisions: 

A. How have the following regulations affected your remittance behavior and financial integration in the Netherlands?
Rate from 1 (Strongly negative effect) to 5 (Strongly positive effect), or mark N/A if unaware [Dutch taxation policies]","19. Regarding the regulatory environment's impact on your financial decisions: 

A. How have the following regulations affected your remittance behavior and financial integration in the Netherlands?
Rate from 1 (Strongly negative effect) to 5 (Strongly positive effect), or mark N/A if unaware [Digital payment regulations]","B. To what extent do regulatory factors influence your:
Rate from 1 (No influence) to 5 (Strong influence) [Choice between formal vs. informal remittance channels]","B. To what extent do regulatory factors influence your:
Rate from 1 (No influence) to 5 (Strong influence) [Ability to access financial services in the Netherlands]","B. To what extent do regulatory factors influence your:
Rate from 1 (No influence) to 5 (Strong influence) [Decisions about saving versus remitting]","20. How effective do you consider the following policy interventions?
Rate from 1 (Not at all effective) to 5 (Extremely effective) [Reduced fees for formal remittance channels]","20. How effective do you consider the following policy interventions?
Rate from 1 (Not at all effective) to 5 (Extremely effective) [Financial literacy programs for migrant communities]","20. How effective do you consider the following policy interventions?
Rate from 1 (Not at all effective) to 5 (Extremely effective) [Matched savings programs for remittance senders]","20. How effective do you consider the following policy interventions?
Rate from 1 (Not at all effective) to 5 (Extremely effective) [Better digital remittance options]","20. How effective do you consider the following policy interventions?
Rate from 1 (Not at all effective) to 5 (Extremely effective) [Improved cybersecurity for digital transfers]","21. What do you perceive as the greatest barriers to financial inclusion for remittance-sending households in the Netherlands? (Select up to three)
","22. In your opinion, what specific improvements could make the remittance process more financially inclusive while reducing negative impacts on wealth accumulation in the Netherlands?"
"2025/06/01 4:09:55 pm GMT+5:30","Turkey","More than 10 years","Student","€50,001 – €75,000","Living with family/friends","Yes, regularly (monthly or more frequently)","Not applicable","Money transfer operators (e.g., Western Union, MoneyGram)","1","1","2","1","2","1","Educational expenses;Savings in country of origin","Sometimes check rates;Rarely check rates","Yes, I send less when exchange rates are unfavorable;Not sure","1","1","2","1","2","1","2","1","N/A","1","4","3","2","4","1","3","5","Credit cards;Pension plans (beyond mandatory pension)","1","2","1","2","1","2","1","2","2","1","Neither agree nor disagree","1","2","3","1","1","3","1","2","1","3","5","Documentation requirements;High costs of financial services","Lower fees, improved digital access, and financial education can make remittances more inclusive and support wealth accumulation in the Netherlands."
"2025/06/01 5:45:47 pm GMT+5:30","Turkey","6 to 10 years","Retired","€30,001 – €50,000","Own home (with mortgage)","Yes, regularly (monthly or more frequently)","21–30%","Mobile money services","3","4","3","1","2","4","Educational expenses;Investment in property/busines;Cultural or religious obligations;Repayment of debts","Always monitor and time my transfers based on rates","Not applicable","2","N/A","3","3","5","5","N/A","N/A","4","1","4","5","4","4","4","3","5","Credit cards;Pension plans (beyond mandatory pension);Insurance products (beyond mandatory insurance)","3","2","N/A","2","2","N/A","4","5","3","5","Agree – somewhat limits advancement","N/A","5","3","3","2","3","4","5","5","4","3","High costs of financial services;Lack of financial knowledge","Develop integrated financial products that combine remittance services with wealth building tools like retirement savings or investment accounts in the Netherlands."
"2025/06/01 5:49:59 pm GMT+5:30","India","Less than 1 year","Retired","More than €75,000","Rental (social housing)","Yes, occasionally (several times per year)","5–10%","Digital remittance platform (e.g., Wise, Remitly);Mobile money services;Informal channels (e.g., carried by friends/family)","4","4","4","5","4","4","Investment in property/busines;Savings in country of origin;Medical emergencies","Often check rates but don’t always time transfers accordingly","Yes, I send less when exchange rates are unfavorable","5","5","2","4","N/A","3","1","5","3","4","5","2","5","4","3","4","4","Regular savings account;Mortgage;Insurance products (beyond mandatory insurance)","2","3","2","1","1","4","4","4","4","5","Strongly agree – significantly limits advancement","3","5","N/A","4","4","3","3","5","3","2","4","Lack of financial knowledge;Digital literacy challenges","Develop integrated financial products that combine remittance services with wealth building tools like retirement savings or investment accounts in the Netherlands."
"2025/06/01 5:50:56 pm GMT+5:30","Morocco","6 to 10 years","Employed part-time","Less than €10,000","Own home (fully paid)","Yes, occasionally (several times per year)","Less than 5%","Mobile money services","4","5","4","4","3","3","Educational expenses;Investment in property/busines;Savings in country of origin;Cultural or religious obligations;Medical emergencies","Always monitor and time my transfers based on rates","Yes, I send more when exchange rates are favorable","1","5","4","5","N/A","4","N/A","5","3","5","N/A","4","5","4","3","4","1","Investment/securities account;Personal loans;Credit cards","2","3","3","N/A","3","5","2","5","4","4","Strongly agree – significantly limits advancement","1","1","4","2","2","5","5","5","4","5","3","Language barriers;High costs of financial services","Lower transfer fees and better exchange rates would help us send money without sacrificing our savings in the Netherlands. Financial institutions should offer special packages for migrants."
"2025/06/01 5:51:58 pm GMT+5:30","Ghana","1 to 5 years","Student","€10,001 – €30,000","Hotel/hostel","I used to but no longer do","Less than 5%","Money transfer operators (e.g., Western Union, MoneyGram)","5","4","5","1","3","4","Supporting family's daily expenses","Rarely check rates","Not sure","4","4","N/A","N/A","5","3","1","N/A","3","3","1","3","4","4","1","4","4","None of the above","3","2","1","2","1","1","3","4","5","1","Agree – somewhat limits advancement","1","1","3","4","3","3","4","3","4","2","5","Lack of suitable financial products;High costs of financial services;Digital literacy challenges","Partnership programs between Dutch banks and financial institutions in origin countries to provide seamless and affordable cross-border financial services."
"2025/06/01 5:52:57 pm GMT+5:30","Turkey","More than 10 years","Unemployed","€30,001 – €50,000","Hotel/hostel","Yes, rarely (once a year or less)","11–20%","Digital remittance platform (e.g., Wise, Remitly);Informal channels (e.g., carried by friends/family)","1","4","4","4","3","4","Supporting family's daily expenses;Healthcare costs;Repayment of debts","Never consider exchange rates","Not applicable","1","N/A","5","5","5","4","N/A","2","2","4","2","4","3","3","3","4","4","None of the above","2","1","3","3","4","5","4","4","2","4","Neither agree nor disagree","4","N/A","4","4","3","3","5","1","4","5","3","Time constraints","Lower transfer fees and better exchange rates would help us send money without sacrificing our savings in the Netherlands. Financial institutions should offer special packages for migrants."
"2025/06/01 5:53:57 pm GMT+5:30","Morocco","More than 10 years","Self-employed","Less than €10,000","Own home (fully paid)","No, I do not send remittances","Not applicable","Mobile money services;PayPal","2","4","3","4","5","5","Educational expenses;Savings in country of origin","Often check rates but don’t always time transfers accordingly","Yes, I send more when exchange rates are favorable","N/A","2","5","4","4","4","N/A","4","4","N/A","5","4","4","4","3","3","4","None of the above","2","2","3","4","3","5","3","4","2","5","Neither agree nor disagree","3","N/A","N/A","5","4","3","4","4","2","5","4","Documentation requirements;High costs of financial services;Cultural differences in financial practices","Better regulation of fintech companies to ensure competitive pricing while maintaining security. More competition leads to better services for consumers."
"2025/06/01 5:55:01 pm GMT+5:30","Turkey","More than 10 years","Employed part-time","More than €75,000","Own home (fully paid)","Yes, regularly (monthly or more frequently)","Less than 5%","Digital remittance platform (e.g., Wise, Remitly);Mobile money services","1","2","5","5","4","5","Educational expenses;Healthcare costs;Investment in property/busines;Cultural or religious obligations;Wedding expenses","Sometimes check rates","Yes, I send more when exchange rates are favorable","N/A","3","4","5","4","2","1","4","2","1","2","3","5","3","2","3","5","Investment/securities account;Mortgage;Personal loans","2","3","N/A","3","N/A","5","3","5","2","4","Not applicable","3","2","4","5","3","3","5","5","3","5","3","Documentation requirements;High costs of financial services;Digital literacy challenges","Improve transparency in exchange rates and fees. Hidden costs make it difficult to plan finances effectively between remitting and saving locally."
"2025/06/01 5:56:03 pm GMT+5:30","Morocco","6 to 10 years","Retired","More than €75,000","Living with family/friends","Yes, regularly (monthly or more frequently)","More than 30%","Traditional bank transfer;Digital remittance platform (e.g., Wise, Remitly)","4","3","5","4","4","1","Savings in country of origin","Rarely check rates","Yes, I send more when exchange rates are favorable","N/A","2","3","4","5","3","4","5","4","5","5","3","3","3","2","3","4","Investment/securities account;Pension plans (beyond mandatory pension)","3","5","N/A","N/A","5","4","3","5","4","3","Not applicable","2","3","2","4","1","3","4","3","4","5","1","Language barriers;Cultural differences in financial practices;Time constraints","Partnership programs between Dutch banks and financial institutions in origin countries to provide seamless and affordable cross-border financial services."
"2025/06/01 5:57:04 pm GMT+5:30","Morocco","1 to 5 years","Retired","€30,001 – €50,000","Rental (private market)","I used to but no longer do","21–30%","Digital remittance platform (e.g., Wise, Remitly);Informal channels (e.g., carried by friends/family)","4","5","5","5","5","5","Supporting family's daily expenses;Healthcare costs;Cultural or religious obligations","Often check rates but don’t always time transfers accordingly","No, I send the same amount regardless of exchange rates","4","2","2","N/A","4","3","4","5","3","4","4","N/A","2","4","3","5","4","None of the above","2","2","1","1","1","2","4","3","5","3","Neither agree nor disagree","5","2","N/A","5","4","4","5","5","4","4","5","Language barriers;Lack of suitable financial products;Lack of financial knowledge","Improve transparency in exchange rates and fees. Hidden costs make it difficult to plan finances effectively between remitting and saving locally."
"2025/06/01 5:58:00 pm GMT+5:30","Morocco","1 to 5 years","Disabled","€50,001 – €75,000","Rental (private market)","Yes, regularly (monthly or more frequently)","5–10%","Traditional bank transfer;Digital remittance platform (e.g., Wise, Remitly);Money transfer operators (e.g., Western Union, MoneyGram)","2","5","3","5","5","1","Supporting family's daily expenses;Healthcare costs;Savings in country of origin;Repayment of debts","Always monitor and time my transfers based on rates","Not sure","4","4","4","N/A","5","2","3","4","2","5","N/A","4","4","2","3","3","4","Credit cards","2","3","N/A","4","3","3","3","4","5","4","Agree – somewhat limits advancement","3","2","1","4","3","4","4","2","1","2","3","High costs of financial services;Lack of financial knowledge;Digital literacy challenges","Partnership programs between Dutch banks and financial institutions in origin countries to provide seamless and affordable cross-border financial services."
